Date,Description,Amount,Balance
2026-08-01,Zelle Payment From Sample Sender A,1200.00,2000.00
2026-08-01,Card Purchase Pp*Doordash Sample Restaurant,-24.75,1975.25
2026-08-02,Card Purchase Paypal *Uber Sample Trip,-13.40,1961.85
2026-08-02,Card Purchase Pp*Spotify*Sample,-11.99,1949.86
2026-08-03,Card Purchase Wm Supercenter Sample,-54.32,1895.54
2026-08-03,Card Purchase Exxon Delta Mini Mart,-36.18,1859.36
2026-08-04,Card Purchase Amazon.Com*Sample,-42.67,1816.69
2026-08-04,Card Purchase Pp*Apple.Com/Bill,-4.99,1811.70
2026-08-05,Recurring Card Purchase Rocketfast Car Wash,-22.00,1789.70
2026-08-05,Card Purchase Raising Canes Sample,-18.64,1771.06
2026-08-06,Zelle Payment To Sample Recipient A,-75.00,1696.06
2026-08-06,Discover E-Payment Sample,-60.00,1636.06
2026-08-07,Card Purchase Sq *Pj's Coffee Sample,-8.45,1627.61
2026-08-07,Card Purchase Shell Oil Sample,-31.22,1596.39
2026-08-08,Card Purchase Fandango Sample,-27.50,1568.89
2026-08-08,Card Purchase United Sample Flight,-285.00,1283.89
2026-08-09,Card Purchase Autozone Sample,-46.80,1237.09
2026-08-09,Card Purchase CircleK Sample,-12.36,1224.73
2026-08-10,Rocket Money Premium Sample,-8.99,1215.74
2026-08-10,Card Purchase Prime Video Channels,-9.99,1205.75
2026-08-11,Card Purchase Pp*Doordash Sample Cafe,-19.25,1186.50
2026-08-11,Card Purchase Paypal *Uber Sample Trip,-15.10,1171.40
2026-08-12,LA Farm Bureau Insurance Sample,-105.00,1066.40
2026-08-12,Recurring Card Purchase Paypal *Mint Mobile,-45.00,1021.40
2026-08-13,Card Purchase Chevron Sample,-28.47,992.93
2026-08-13,Card Purchase Gazebo Smoke Shop Sample,-14.75,978.18
2026-08-14,Zelle Payment From Sample Sender B,850.00,1828.18
2026-08-14,Card Purchase United Sample Baggage,-35.00,1793.18
2026-08-15,Card Purchase Affirm.Com Payments Sample,-32.50,1760.68
2026-08-15,Card Purchase LA Tech Lambright Ctr,-30.00,1730.68
2026-08-16,Payment Sent Chime Sample Transfer,-100.00,1630.68
2026-08-16,Capital One Mobile Pmt Sample,-125.00,1505.68
2026-08-17,Card Purchase QT Sample,-39.20,1466.48
2026-08-17,Card Purchase Liquor Store Sample,-21.35,1445.13
2026-08-18,Card Purchase Delta Mini Mart Sample,-16.84,1428.29
2026-08-18,Card Purchase Pp*Doordash Sample Dinner,-31.60,1396.69
2026-08-19,Card Purchase Amazon.Com*Sample Two,-63.28,1333.41
2026-08-19,Card Purchase Local Bookstore Sample,-26.90,1306.51
2026-08-20,Card Purchase Wm Supercenter Sample Two,-72.44,1234.07
2026-08-20,Card Purchase Paypal *Uber Sample Trip,-9.85,1224.22
2026-08-21,Card Purchase Pp*Apple.Com/Bill,-2.99,1221.23
2026-08-21,Card Purchase Exxon Sample,-44.10,1177.13
2026-08-22,Card Purchase Pp*Doordash Sample Lunch,-17.80,1159.33
2026-08-22,Card Purchase Farmers Market Sample,-33.25,1126.08
2026-08-23,Card Purchase Rocketfast Car Wash,-22.00,1104.08
2026-08-23,Card Purchase Raising Canes Sample Two,-16.72,1087.36
2026-08-24,Zelle Payment To Sample Recipient B,-50.00,1037.36
2026-08-24,Card Purchase Spotify Sample,-11.99,1025.37
